User,Question,Segment Type,Segment Description,Answer,Count,Percentage
71,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Washington,Snapchat,115,0.487
72,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Washington,Linkedin,3,0.013
73,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cal Poly San Luis Obispo,Instagram,5,0.192
74,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cal Poly San Luis Obispo,Facebook,2,0.077
75,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cal Poly San Luis Obispo,Snapchat,19,0.731
76,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cal Poly San Luis Obispo,Linkedin,0,0
77,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Penn State University,Instagram,5,0.217
78,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Penn State University,Facebook,6,0.261
79,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Penn State University,Snapchat,12,0.522
80,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Penn State University,Linkedin,0,0
81,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Michigan,Instagram,12,0.207
82,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Michigan,Facebook,17,0.293
83,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Michigan,Snapchat,25,0.431
84,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Michigan,Linkedin,4,0.069
85,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Northwestern University,Instagram,12,0.25
86,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Northwestern University,Facebook,14,0.292
87,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Northwestern University,Snapchat,20,0.417
88,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Northwestern University,Linkedin,2,0.042
89,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Montgomery Blair High School,Instagram,8,0.216
90,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Montgomery Blair High School,Facebook,3,0.081
91,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Montgomery Blair High School,Snapchat,24,0.649
92,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Montgomery Blair High School,Linkedin,2,0.054
93,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Alabama,Instagram,9,0.333
94,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Alabama,Facebook,3,0.111
95,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Alabama,Snapchat,14,0.519
96,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Alabama,Linkedin,1,0.037
97,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,James Madison University,Instagram,8,0.4
98,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,James Madison University,Facebook,1,0.05
99,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,James Madison University,Snapchat,11,0.55
100,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,James Madison University,Linkedin,0,0
101,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas Christian University,Instagram,4,0.2
102,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas Christian University,Facebook,4,0.2
103,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas Christian University,Snapchat,10,0.5
104,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas Christian University,Linkedin,2,0.1
105,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas A&M University,Instagram,5,0.238
106,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas A&M University,Facebook,2,0.095
107,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas A&M University,Snapchat,14,0.667
108,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Texas A&M University,Linkedin,0,0
109,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arkansas,Instagram,7,0.333
110,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arkansas,Facebook,1,0.048
111,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arkansas,Snapchat,12,0.571
112,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Arkansas,Linkedin,1,0.048
113,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Diego State University,Instagram,14,0.311
114,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Diego State University,Facebook,3,0.067
115,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Diego State University,Snapchat,27,0.6
116,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Diego State University,Linkedin,1,0.022
117,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Colorado Boulder,Instagram,0,0
118,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Colorado Boulder,Facebook,0,0
119,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Colorado Boulder,Snapchat,1,1
120,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Colorado Boulder,Linkedin,0,0
121,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Smith College,Instagram,1,1
122,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Smith College,Facebook,0,0
123,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Smith College,Snapchat,0,0
124,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Smith College,Linkedin,0,0
125,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Instagram,0,0
126,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Facebook,1,1
127,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Snapchat,0,0
128,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Notre Dame,Linkedin,0,0
129,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Instagram,0,0
130,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Facebook,0,0
131,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Snapchat,1,1
132,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Nebraska Omaha,Linkedin,0,0
133,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Instagram,0,0
134,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Facebook,0,0
135,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Snapchat,1,1
136,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Delaware,Linkedin,0,0
137,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Instagram,0,0
138,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Facebook,0,0
139,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Snapchat,1,1
140,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Florida Atlantic University,Linkedin,0,0
141,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Instagram,1,1
142,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Facebook,0,0
143,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Snapchat,0,0
144,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Wisconsin Stevens Point,Linkedin,0,0
145,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Instagram,1,1
146,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Facebook,0,0
147,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Snapchat,0,0
148,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Riverside,Linkedin,0,0
149,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Instagram,0,0
150,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Facebook,0,0
151,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Snapchat,1,1
152,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Louisiana State University,Linkedin,0,0
153,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Instagram,0,0
154,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Facebook,0,0
155,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Snapchat,2,1
156,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Temple University,Linkedin,0,0
157,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Instagram,1,1
158,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Facebook,0,0
159,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Snapchat,0,0
160,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,High Point University,Linkedin,0,0
161,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Instagram,1,1
162,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Facebook,0,0
163,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Snapchat,0,0
164,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Dartmouth College,Linkedin,0,0
165,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Instagram,0,0
166,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Facebook,0,0
167,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Snapchat,1,1
168,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Duke University,Linkedin,0,0
169,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Instagram,0,0
170,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Facebook,2,1
171,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Snapchat,0,0
172,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of California Irvine,Linkedin,0,0
173,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Instagram,1,1
174,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Facebook,0,0
175,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Snapchat,0,0
176,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of British Columbia,Linkedin,0,0
177,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Instagram,0,0
178,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Facebook,0,0
179,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Snapchat,1,1
180,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,San Marin High School,Linkedin,0,0
181,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Instagram,0,0
182,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Facebook,0,0
183,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Snapchat,1,1
184,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Ohio University,Linkedin,0,0
185,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Instagram,1,1
186,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Facebook,0,0
187,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Snapchat,0,0
188,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Wilfred Laurier University,Linkedin,0,0
189,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Instagram,0,0
190,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Facebook,0,0
191,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Snapchat,2,1
192,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,UMass Amherst,Linkedin,0,0
193,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Instagram,0,0
194,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Facebook,0,0
195,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Snapchat,0,0
196,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Southern California,Linkedin,1,1
197,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Instagram,1,0.333
198,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Facebook,0,0
199,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Snapchat,2,0.667
200,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Los Angeles",Linkedin,0,0
201,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Instagram,1,1
202,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Facebook,0,0
203,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Snapchat,0,0
204,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Iowa State University,Linkedin,0,0
205,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Instagram,0,0
206,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Facebook,2,1
207,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Snapchat,0,0
208,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,"University of California, Davis",Linkedin,0,0
209,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Instagram,0,0
210,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Facebook,0,0
211,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Snapchat,1,1
212,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Missouri State University,Linkedin,0,0
213,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Instagram,0,0
214,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Facebook,0,0
215,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Snapchat,1,1
216,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Rice University,Linkedin,0,0
217,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Instagram,1,1
218,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Facebook,0,0
219,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Snapchat,0,0
220,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Tennessee,Linkedin,0,0
