User,Percentage,Segment Type,Segment Description,Answer,Count,Question
36,0,University,Hillsdale College,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
37,1,University,University of New Hampshire,Instagram,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
38,0,University,University of New Hampshire,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
39,0,University,University of New Hampshire,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
40,0,University,University of New Hampshire,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
41,0.237,University,University of North Carolina,Instagram,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
42,0.079,University,University of North Carolina,Facebook,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
43,0.684,University,University of North Carolina,Snapchat,26,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
44,0,University,University of North Carolina,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
45,0.275,University,Vanderbilt University,Instagram,11,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
46,0.2,University,Vanderbilt University,Facebook,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
47,0.525,University,Vanderbilt University,Snapchat,21,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
48,0,University,Vanderbilt University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
49,0.236,University,University of Virginia,Instagram,37,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
50,0.172,University,University of Virginia,Facebook,27,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
51,0.548,University,University of Virginia,Snapchat,86,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
52,0.045,University,University of Virginia,Linkedin,7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
53,0.242,University,University of Texas,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
54,0.152,University,University of Texas,Facebook,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
55,0.485,University,University of Texas,Snapchat,16,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
56,0.121,University,University of Texas,Linkedin,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
57,0.248,University,Cornell University,Instagram,113,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
58,0.213,University,Cornell University,Facebook,97,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
59,0.496,University,Cornell University,Snapchat,226,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
60,0.044,University,Cornell University,Linkedin,20,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
61,0.333,University,Butler University,Instagram,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
62,0.074,University,Butler University,Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
63,0.481,University,Butler University,Snapchat,13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
64,0.111,University,Butler University,Linkedin,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
65,0.11,University,University of Illinois,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
66,0.178,University,University of Illinois,Facebook,13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
67,0.644,University,University of Illinois,Snapchat,47,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
68,0.068,University,University of Illinois,Linkedin,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
69,0.347,University,University of Washington,Instagram,82,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
70,0.153,University,University of Washington,Facebook,36,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
71,0.487,University,University of Washington,Snapchat,115,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
72,0.013,University,University of Washington,Linkedin,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
73,0.192,University,Cal Poly San Luis Obispo,Instagram,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
74,0.077,University,Cal Poly San Luis Obispo,Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
75,0.731,University,Cal Poly San Luis Obispo,Snapchat,19,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
76,0,University,Cal Poly San Luis Obispo,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
77,0.217,University,Penn State University,Instagram,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
78,0.261,University,Penn State University,Facebook,6,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
79,0.522,University,Penn State University,Snapchat,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
80,0,University,Penn State University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
81,0.207,University,University of Michigan,Instagram,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
82,0.293,University,University of Michigan,Facebook,17,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
83,0.431,University,University of Michigan,Snapchat,25,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
84,0.069,University,University of Michigan,Linkedin,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
85,0.25,University,Northwestern University,Instagram,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
86,0.292,University,Northwestern University,Facebook,14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
87,0.417,University,Northwestern University,Snapchat,20,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
88,0.042,University,Northwestern University,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
89,0.216,University,Montgomery Blair High School,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
90,0.081,University,Montgomery Blair High School,Facebook,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
91,0.649,University,Montgomery Blair High School,Snapchat,24,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
92,0.054,University,Montgomery Blair High School,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
93,0.333,University,University of Alabama,Instagram,9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
94,0.111,University,University of Alabama,Facebook,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
95,0.519,University,University of Alabama,Snapchat,14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
96,0.037,University,University of Alabama,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
97,0.4,University,James Madison University,Instagram,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
98,0.05,University,James Madison University,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
99,0.55,University,James Madison University,Snapchat,11,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
100,0,University,James Madison University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
101,0.2,University,Texas Christian University,Instagram,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
102,0.2,University,Texas Christian University,Facebook,4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
103,0.5,University,Texas Christian University,Snapchat,10,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
104,0.1,University,Texas Christian University,Linkedin,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
105,0.238,University,Texas A&M University,Instagram,5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
106,0.095,University,Texas A&M University,Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
107,0.667,University,Texas A&M University,Snapchat,14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
108,0,University,Texas A&M University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
109,0.333,University,University of Arkansas,Instagram,7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
110,0.048,University,University of Arkansas,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
111,0.571,University,University of Arkansas,Snapchat,12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
112,0.048,University,University of Arkansas,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
113,0.311,University,San Diego State University,Instagram,14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
114,0.067,University,San Diego State University,Facebook,3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
115,0.6,University,San Diego State University,Snapchat,27,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
116,0.022,University,San Diego State University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
117,0,University,University of Colorado Boulder,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
118,0,University,University of Colorado Boulder,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
119,1,University,University of Colorado Boulder,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
120,0,University,University of Colorado Boulder,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
121,1,University,Smith College,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
122,0,University,Smith College,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
123,0,University,Smith College,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
124,0,University,Smith College,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
125,0,University,University of Notre Dame,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
126,1,University,University of Notre Dame,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
127,0,University,University of Notre Dame,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
128,0,University,University of Notre Dame,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
129,0,University,University of Nebraska Omaha,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
130,0,University,University of Nebraska Omaha,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
131,1,University,University of Nebraska Omaha,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
132,0,University,University of Nebraska Omaha,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
133,0,University,University of Delaware,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
134,0,University,University of Delaware,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
135,1,University,University of Delaware,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
136,0,University,University of Delaware,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
137,0,University,Florida Atlantic University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
138,0,University,Florida Atlantic University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
139,1,University,Florida Atlantic University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
140,0,University,Florida Atlantic University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
141,1,University,University of Wisconsin Stevens Point,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
142,0,University,University of Wisconsin Stevens Point,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
143,0,University,University of Wisconsin Stevens Point,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
144,0,University,University of Wisconsin Stevens Point,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
145,1,University,University of California Riverside,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
146,0,University,University of California Riverside,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
147,0,University,University of California Riverside,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
148,0,University,University of California Riverside,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
149,0,University,Louisiana State University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
150,0,University,Louisiana State University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
151,1,University,Louisiana State University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
152,0,University,Louisiana State University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
153,0,University,Temple University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
154,0,University,Temple University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
155,1,University,Temple University,Snapchat,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
156,0,University,Temple University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
157,1,University,High Point University,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
158,0,University,High Point University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
159,0,University,High Point University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
160,0,University,High Point University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
161,1,University,Dartmouth College,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
162,0,University,Dartmouth College,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
163,0,University,Dartmouth College,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
164,0,University,Dartmouth College,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
165,0,University,Duke University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
166,0,University,Duke University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
167,1,University,Duke University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
168,0,University,Duke University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
169,0,University,University of California Irvine,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
170,1,University,University of California Irvine,Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
171,0,University,University of California Irvine,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
172,0,University,University of California Irvine,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
173,1,University,University of British Columbia,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
174,0,University,University of British Columbia,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
175,0,University,University of British Columbia,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
176,0,University,University of British Columbia,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
177,0,University,San Marin High School,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
178,0,University,San Marin High School,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
179,1,University,San Marin High School,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
180,0,University,San Marin High School,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
181,0,University,Ohio University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
182,0,University,Ohio University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
183,1,University,Ohio University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
184,0,University,Ohio University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
185,1,University,Wilfred Laurier University,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
186,0,University,Wilfred Laurier University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
187,0,University,Wilfred Laurier University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
188,0,University,Wilfred Laurier University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
189,0,University,UMass Amherst,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
190,0,University,UMass Amherst,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
191,1,University,UMass Amherst,Snapchat,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
192,0,University,UMass Amherst,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
193,0,University,University of Southern California,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
194,0,University,University of Southern California,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
195,0,University,University of Southern California,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
196,1,University,University of Southern California,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
197,0.333,University,"University of California, Los Angeles",Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
198,0,University,"University of California, Los Angeles",Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
199,0.667,University,"University of California, Los Angeles",Snapchat,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
200,0,University,"University of California, Los Angeles",Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
201,1,University,Iowa State University,Instagram,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
202,0,University,Iowa State University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
203,0,University,Iowa State University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
204,0,University,Iowa State University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
205,0,University,"University of California, Davis",Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
206,1,University,"University of California, Davis",Facebook,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
207,0,University,"University of California, Davis",Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
208,0,University,"University of California, Davis",Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
209,0,University,Missouri State University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
210,0,University,Missouri State University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
211,1,University,Missouri State University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
212,0,University,Missouri State University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
213,0,University,Rice University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
214,0,University,Rice University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
215,1,University,Rice University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
216,0,University,Rice University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
